,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.454424350763883,9.999999997975976,217.18898273879782,3.727641886451038,1061.387601696388,REFPROP::R152a,43.86852
32,7.454424350763883,11.336338389076957,220.3450632963242,30.994927557377782,1062.2703902983048,REFPROP::R152a,46.77464
33,7.454424350763883,30.388416735928843,253.80929892242312,30.994927557377782,1176.1020616472572,REFPROP::R152a,48.00744
34,7.454424350763883,140.0000000000001,631.9676504616185,30.375029006230225,2228.12414023137,REFPROP::R152a,128.28574
35,7.454424350763883,40.98780932456458,549.3668713993873,3.727641886451038,2228.124140231607,REFPROP::R152a,45.68496
36,7.454424350763883,11.336338493070912,515.3226135377979,3.727641886451038,2114.2924688828166,REFPROP::R152a,43.87214
41,10,140.00000000000006,589.2513914025385,5.0,1739.0745003453276,REFPROP::water,97.49103
42,10,69.99999999999949,293.44857047708734,5.0,954.8526003313522,REFPROP::water,23.74064
38,7.454424350763883,93.37586016606957,385.44390183099046,30.78690164139996,1567.7974246879,REFPROP::R152a,68.7335
39,7.454424350763883,93.03650563716741,540.9278992768166,30.58027191457723,1992.487135856956,REFPROP::R152a,103.96661
48,10,124.08904982183896,521.3864975905913,5.0,1571.569937929319,REFPROP::water,77.05505
49,10,93.37678668858138,391.57458940959253,5.0,1231.4832573992462,REFPROP::water,43.53869
