,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.576739566628298,9.999999998031626,217.1889827388895,3.7276418864487435,1061.3876016967192,REFPROP::R152a,43.86852
32,7.576739566628298,11.14372555638272,219.97850901816463,29.908218081564392,1061.3876017404225,REFPROP::R152a,46.65805
33,7.576739566628298,34.53361427655875,261.289833225163,29.908218081564392,1200.979146955771,REFPROP::R152a,48.44403
34,7.576739566628298,139.99999999999955,633.774933027091,29.310053719933105,2236.0178903592414,REFPROP::R152a,127.85791
35,7.576739566628298,47.84599598238475,557.2996590181174,3.7276418864487435,2253.1047653307446,REFPROP::R152a,46.54448
36,7.576739566628298,11.143725662093232,515.1010029640872,3.7276418864487435,2113.513220115425,REFPROP::R152a,43.87117
41,10,139.99999999999994,589.2513914025383,5.0,1739.074500345319,REFPROP::water,97.49103
42,10,69.99999999999449,293.44857047706745,5.0,954.8526003313317,REFPROP::water,23.74064
38,7.576739566628298,91.5827940912265,380.84367989062673,29.7074857375328,1555.6596750240362,REFPROP::R152a,67.57008
39,7.576739566628298,91.24598761004751,541.6480408931108,29.508100631034065,1997.032413295922,REFPROP::R152a,103.39975
48,10,123.63315943671262,519.4492445243358,5.0,1566.6903433272967,REFPROP::water,76.49946
49,10,91.58365600930654,384.0314065143796,5.0,1210.8525866518714,REFPROP::water,41.83708
