,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.4523343196344545,9.99999999781727,217.1889827385192,3.7276418864759924,1061.3876016954034,REFPROP::R152a,43.86852
32,7.4523343196344545,11.19104623336517,220.09592563573486,31.01317799084603,1061.387601740115,REFPROP::R152a,46.77547
33,7.4523343196344545,30.317304973051023,253.68178549941427,31.01317799084603,1175.675204664917,REFPROP::R152a,48.00079
34,7.4523343196344545,140.00000000000023,631.9370347121666,30.39291443102911,2227.9923262247503,REFPROP::R152a,128.29245
35,7.4523343196344545,40.95192031028961,549.3254660016828,3.7276418864759924,2227.99232622507,REFPROP::R152a,45.68088
36,7.4523343196344545,11.191046338645492,515.155450649556,3.7276418864759924,2113.704723300171,REFPROP::R152a,43.8714
41,10,139.9999999999987,589.251391402536,5.0,1739.0745003453173,REFPROP::water,97.49103
42,10,69.99999999998937,293.44857047708194,5.0,954.8526003312381,REFPROP::water,23.74064
38,7.4523343196344545,93.40554606700056,385.52098536769216,30.80502958504686,1568.0002330947216,REFPROP::R152a,68.75316
39,7.4523343196344545,93.0661500215466,540.9146503458522,30.598278190506885,1992.4089746191405,REFPROP::R152a,103.97549
48,10,124.09657251854554,521.4184675157318,5.0,1571.6504174854724,REFPROP::water,77.06423
49,10,93.4064853021523,391.6995498622639,5.0,1231.8241748843534,REFPROP::water,43.56712
