,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.556008999911388,11.999999999999318,220.67259093632347,3.981144941603298,1073.5518220538952,REFPROP::R152a,43.90783
32,7.556008999911388,13.166309208894972,223.4689095620226,30.09494983057983,1073.5518220538913,REFPROP::R152a,46.70415
33,7.556008999911388,33.83331243165202,260.0193008673622,30.09494983057983,1196.7764337541407,REFPROP::R152a,48.36349
34,7.556008999911388,140.0,633.4665521536466,29.493050833968233,2234.6548958141484,REFPROP::R152a,127.93546
35,7.556008999911388,46.30330266861313,554.6300193243305,4.062392797554386,2234.6548958141484,REFPROP::R152a,49.09893
36,7.556008999911388,14.166309309597523,517.2799427216928,4.062392797554386,2111.430284113896,REFPROP::R152a,46.6399
41,10,140.0,589.2513914025407,5.0,1739.0745003453276,REFPROP::water,97.49103
42,10,70.00000000000125,293.44857047709536,5.0,954.8526003313699,REFPROP::water,23.74064
38,7.556008999911388,91.89451717174859,381.63583633513605,29.892964215571585,1557.7546790020776,REFPROP::R152a,67.76904
39,7.556008999911388,91.55726230610958,541.5337435999851,29.692334249564247,1996.266000633532,REFPROP::R152a,103.50247
48,10,123.71262050642758,519.786878520681,5.0,1567.541186375493,REFPROP::water,76.59617
49,10,91.89529022801287,385.34213413034956,5.0,1214.4447091580141,REFPROP::water,42.1307
