,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,13.28447,164.75453,516.43591,14.35773,1859.3264,REFPROP::R1336MZZZ,73.27578
12,13.28447,75.0,293.76772,13.63985,1299.3423,REFPROP::R1336MZZZ,9.16709
13,13.28447,29.75779,236.10998,13.43525,1122.14184,REFPROP::R1336MZZZ,1.68366
14,13.28447,5.0,236.10998,0.31368,1129.99693,REFPROP::R1336MZZZ,-0.54051
15,13.28447,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
16,13.28447,70.0,440.02672,0.29352,1845.28689,REFPROP::R1336MZZZ,0.84188
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,13.28447,132.21855,475.37054,14.11434,1762.44229,REFPROP::R1336MZZZ,59.64315
19,13.28447,131.35718,373.91895,13.87506,1512.22756,REFPROP::R1336MZZZ,29.03986
28,10.0,95.36096,399.92521,5.0,1254.20492,REFPROP::water,45.45567
29,10.0,127.21929,534.69824,5.0,1604.94921,REFPROP::water,80.91545
