,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,13.65069,159.33623,512.48515,12.7763,1854.92425,REFPROP::R1336MZZZ,70.57149
32,13.65069,70.0,287.16156,12.7763,1280.43189,REFPROP::R1336MZZZ,7.91542
33,13.65069,27.09984,232.83527,12.7763,1111.44391,REFPROP::R1336MZZZ,1.43807
34,13.65069,10.0,231.35305,0.39354,1111.44391,REFPROP::R1336MZZZ,-0.04415
35,13.65069,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
36,13.65069,70.0,439.81478,0.39354,1829.97044,REFPROP::R1336MZZZ,4.96679
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
38,13.65069,127.24857,472.60994,12.7763,1759.05829,REFPROP::R1336MZZZ,57.84073
39,13.65069,127.24857,367.6119,12.7763,1496.82448,REFPROP::R1336MZZZ,27.09419
28,10.0,96.15516,403.26886,5.0,1263.26857,REFPROP::water,46.23295
29,10.0,127.24766,534.81896,5.0,1605.25075,REFPROP::water,80.9508
