,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,13.10235,159.86836,512.92638,12.89556,1855.56783,REFPROP::R1336MZZZ,70.8305
32,13.10235,70.0,287.16315,12.89556,1280.40857,REFPROP::R1336MZZZ,7.9236
33,13.10235,28.2972,234.30326,12.89556,1116.2943,REFPROP::R1336MZZZ,1.53267
34,13.10235,10.0,234.30326,0.39354,1121.86316,REFPROP::R1336MZZZ,-0.04415
35,13.10235,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
36,13.10235,70.0,439.81478,0.39354,1829.97044,REFPROP::R1336MZZZ,4.96679
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
38,13.10235,127.70732,472.87283,12.89556,1759.38597,REFPROP::R1336MZZZ,58.01083
39,13.10235,127.70732,368.31099,12.89556,1498.54046,REFPROP::R1336MZZZ,27.3074
28,10.0,95.32439,399.77129,5.0,1253.78722,REFPROP::water,45.42002
29,10.0,127.7065,536.77183,5.0,1610.12527,REFPROP::water,81.52344
