,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,13.3109,161.59474,512.04493,14.66953,1848.41859,REFPROP::R1336MZZZ,71.97335
12,13.3109,72.00469,289.81885,14.37614,1287.77875,REFPROP::R1336MZZZ,8.49244
13,13.3109,27.62325,233.52545,14.37614,1113.34998,REFPROP::R1336MZZZ,1.58855
14,13.3109,10.0,231.89276,0.39354,1113.34998,REFPROP::R1336MZZZ,-0.04415
15,13.3109,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,13.3109,72.00469,441.68723,0.39354,1835.41122,REFPROP::R1336MZZZ,5.29869
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,13.3109,133.83205,476.22173,14.57108,1763.45433,REFPROP::R1336MZZZ,60.20778
19,13.3109,133.48989,377.23626,14.47328,1520.25965,REFPROP::R1336MZZZ,30.08288
28,10.0,97.70814,409.80897,5.0,1280.94067,REFPROP::water,47.76921
29,10.0,128.83291,541.5675,5.0,1622.07205,REFPROP::water,82.93638
