,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,14.23104,152.99391,503.41139,13.58903,1831.33757,REFPROP::R1336MZZZ,68.1763
12,14.23104,70.0,287.17241,13.58903,1280.27319,REFPROP::R1336MZZZ,7.9712
13,14.23104,28.07937,234.05417,13.45314,1115.3317,REFPROP::R1336MZZZ,1.55614
14,14.23104,8.0,232.29719,0.35983,1115.3317,REFPROP::R1336MZZZ,-0.20084
15,14.23104,7.55354,385.11135,0.35264,1659.8614,REFPROP::R1336MZZZ,-1.57026
16,14.23104,68.19436,438.22959,0.34911,1831.33757,REFPROP::R1336MZZZ,2.9945
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,14.23104,130.31237,474.33532,13.58903,1761.18941,REFPROP::R1336MZZZ,58.96268
19,14.23104,130.31237,372.30501,13.58903,1508.3026,REFPROP::R1336MZZZ,28.53727
28,10.0,98.84566,414.6011,5.0,1293.84262,REFPROP::water,48.90815
29,10.0,130.31309,547.87312,5.0,1637.72953,REFPROP::water,84.80859
