,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,13.80003,156.22692,503.86805,15.45745,1827.49647,REFPROP::R1336MZZZ,69.72057
12,13.80003,71.76943,289.51871,15.1483,1286.72835,REFPROP::R1336MZZZ,8.48972
13,13.80003,30.99615,237.6787,14.99682,1126.93055,REFPROP::R1336MZZZ,1.89646
14,13.80003,10.0,235.73809,0.39354,1126.93055,REFPROP::R1336MZZZ,-0.04415
15,13.80003,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,13.80003,68.89617,438.7949,0.38961,1827.49647,REFPROP::R1336MZZZ,4.64742
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,13.80003,136.50821,477.57804,15.35371,1765.02459,REFPROP::R1336MZZZ,61.11947
19,13.80003,136.16197,381.43891,15.25066,1530.36833,REFPROP::R1336MZZZ,31.42326
28,10.0,100.19767,420.29877,5.0,1309.13134,REFPROP::water,50.27681
29,10.0,131.50904,552.97109,5.0,1650.34637,REFPROP::water,86.3341
