,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.940011547262507,10.000000000001023,217.18898274031022,3.7276418190076996,1061.3876017271884,REFPROP::R152a,43.86852
32,7.940011547262507,11.220438613806664,219.9879210857809,26.113732893692177,1062.8399062361657,REFPROP::R152a,46.25624
33,7.940011547262507,34.30559014246762,260.83671545342077,26.113732893692177,1200.902333106148,REFPROP::R152a,48.01266
34,7.940011547262507,135.00000000000023,633.3838070598774,24.808046249007567,2251.886082481822,REFPROP::R152a,122.9737
35,7.940011547262507,47.508857410690325,556.9086714774335,3.7276418190076996,2251.886082481821,REFPROP::R152a,46.49857
36,7.940011547262507,11.220438718819423,515.1892691529259,3.7276418190076996,2113.8236556118295,REFPROP::R152a,43.87154
41,10,139.99999999999932,589.2513914025395,5.0,1739.074500345322,REFPROP::water,97.49103
42,10,70.00000000000506,293.4485704771068,5.0,954.8526003313788,REFPROP::water,23.74064
38,7.940011547262507,84.39018019458666,363.2996222113049,25.671041729837057,1508.7082611639728,REFPROP::R152a,63.32032
39,7.940011547262507,83.56356441038002,543.2870070221451,25.23585525584582,2013.4579393909573,REFPROP::R152a,100.38783
48,10,123.22483458480411,517.71442813544,5.0,1562.3158894860337,REFPROP::water,76.00327
49,10,89.38920829257876,374.8042367594749,5.0,1185.4778039055032,REFPROP::water,39.79478
