,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.5261053749269475,10.000000000001023,217.18898274031022,3.7276418190076996,1061.3876017271884,REFPROP::R152a,43.86852
32,7.5261053749269475,11.188298312587278,220.0891028919859,30.94896550397044,1061.3876017271766,REFPROP::R152a,46.76864
33,7.5261053749269475,31.917053848228306,256.5553003136697,30.484731021410887,1185.3137295558727,REFPROP::R152a,48.14516
34,7.5261053749269475,140.00000000000023,631.7797260120418,30.484731021410887,2227.3160148635325,REFPROP::R152a,128.32664
35,7.5261053749269475,48.026244417726446,557.3625912688341,3.7844079380788824,2251.517568563157,REFPROP::R152a,47.05683
36,7.5261053749269475,16.188298379087144,520.8963938471503,3.7276418190076996,2133.7197795537054,REFPROP::R152a,43.94508
41,10,139.99999999999932,589.2513914025395,5.0,1739.074500345322,REFPROP::water,97.49103
42,10,70.00000000000506,293.4485704771068,5.0,954.8526003313788,REFPROP::water,23.74064
38,7.5261053749269475,92.87898173009364,384.1582917193137,30.484731021410887,1564.4121788072275,REFPROP::R152a,68.40642
39,7.5261053749269475,92.87898175716265,540.9975464822052,30.484731021410887,1992.9008031485569,REFPROP::R152a,103.91912
48,10,123.98110528775067,520.927766471831,5.0,1570.4149823504208,REFPROP::water,76.92335
49,10,92.87987989762365,389.48392642458424,5.0,1225.7754033243252,REFPROP::water,43.0642
