,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.93277981652127,14.999999999999886,225.9283882771217,4.385826180337894,1091.7349524847386,REFPROP::R152a,44.01508
32,7.93277981652127,16.03333748948006,228.33596953893064,26.690083137118283,1091.7349524847248,REFPROP::R152a,46.42266
33,7.93277981652127,45.55299360384049,281.69301514764794,26.690083137118283,1267.3071374177316,REFPROP::R152a,50.06644
34,7.93277981652127,139.9999999999999,638.0966507830996,26.690083137118283,2255.8911119542977,REFPROP::R152a,126.55252
35,7.93277981652127,63.34380626729586,573.4171677328492,4.616659137197783,2276.925293189497,REFPROP::R152a,55.91721
36,7.93277981652127,17.0333375978704,518.5006601080632,4.616659137197783,2101.353108256494,REFPROP::R152a,50.71397
41,10,139.99999999999932,589.2513914025395,5.0,1739.074500345322,REFPROP::water,97.49103
42,10,70.00000000000506,293.4485704771068,5.0,954.8526003313788,REFPROP::water,23.74064
38,7.93277981652127,86.28445170541471,367.79814556343405,26.690083137118283,1520.8515154443446,REFPROP::R152a,64.38048
39,7.93277981652127,86.28445132618612,542.9387781065834,26.690083137118283,2008.118753766589,REFPROP::R152a,101.55139
48,10,122.29493862755936,513.7647462274028,5.0,1552.3396712555984,REFPROP::water,74.87835
49,10,86.28370846279904,361.75387454323476,5.0,1149.3256541479288,REFPROP::water,36.9809
