,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.452543835892545,10.000000000000398,217.18898273971905,3.72764179907585,1061.3876017326152,REFPROP::R152a,43.86852
32,7.452543835892545,11.183734357061894,220.07777233992582,30.842329313175412,1061.387601732604,REFPROP::R152a,46.75731
33,7.452543835892545,31.681325142600315,256.13494824726155,30.842329313175412,1183.8037313343236,REFPROP::R152a,48.15236
34,7.452543835892545,139.99999999999994,633.7914914695779,29.300212847516637,2236.0912686945767,REFPROP::R152a,127.85369
35,7.452543835892545,43.16294489570288,551.8783038979894,3.72764179907585,2236.091268694577,REFPROP::R152a,45.9405
36,7.452543835892545,11.183734462400707,515.1470379984208,3.72764179907585,2113.675139092865,REFPROP::R152a,43.87136
41,10,139.99999999999898,589.251391402537,5.0,1739.0745003453012,REFPROP::water,97.49103
42,10,69.99999999999847,293.44857047710093,5.0,954.8526003313095,REFPROP::water,23.74064
38,7.452543835892545,92.60559369177236,383.4545665438218,30.31947696130232,1562.5569076635206,REFPROP::R152a,68.22802
39,7.452543835892545,91.74769149257389,541.4616301184664,29.805488226021982,1995.79237823236,REFPROP::R152a,103.56446
48,10,123.86683077383555,520.442157494433,5.0,1569.1920137869486,REFPROP::water,76.78402
49,10,92.60655909083982,388.33407412952306,5.0,1222.6328134035093,REFPROP::water,42.80417
