,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,8.166867003813335,12.00000000000125,220.67259093623565,3.9811449383842064,1073.551822054804,REFPROP::R152a,43.90783
32,8.166867003813335,13.146272706804496,223.26296523550835,24.531452677443024,1074.9095366434171,REFPROP::R152a,46.11377
33,8.166867003813335,41.562899261791586,274.214530893934,24.16348088728138,1244.624234145887,REFPROP::R152a,49.01062
34,8.166867003813335,134.99999999999994,636.4131815972434,22.95530684291731,2267.342076410013,REFPROP::R152a,121.62671
35,8.166867003813335,61.943127165031,572.866346667355,4.124256643928526,2288.603109775618,REFPROP::R152a,52.05982
36,8.166867003813335,18.146272776498392,521.9147810089293,4.0623927942695985,2127.4511139583897,REFPROP::R152a,46.73844
41,10,140.00000000000085,589.2513914025425,5.0,1739.0745003453267,REFPROP::water,97.49103
42,10,70.00000000000034,293.4485704770856,5.0,954.8526003313833,REFPROP::water,23.74064
38,8.166867003813335,80.66402982752555,354.66054446523185,23.753851229188133,1485.1744454483735,REFPROP::R152a,61.34484
39,8.166867003813335,79.85237479918385,543.4308952062999,23.351165788179017,2020.094435323866,REFPROP::R152a,98.6526
48,10,122.18879313856354,513.3139947360107,5.0,1551.1996592004732,REFPROP::water,74.75039
49,10,85.66330753564927,359.14775985946085,5.0,1142.0687767059699,REFPROP::water,36.42957
