,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,8.001725315972411,9.999999999997954,217.1889827399966,3.727641808509192,1061.3876017300267,REFPROP::R152a,43.86852
32,8.001725315972411,11.50281601804869,220.63997871406437,31.261685566587023,1063.2070929303802,REFPROP::R152a,46.80433
33,8.001725315972411,34.2369167119424,260.76527928041196,31.261685566587023,1198.7759660890683,REFPROP::R152a,48.5433
34,8.001725315972411,139.99999999999983,630.4390799231296,31.261685566587023,2221.6165847319694,REFPROP::R152a,128.59978
35,8.001725315972411,46.4137585520632,555.6394301135988,3.727641808509192,2247.92107989634,REFPROP::R152a,46.35202
36,8.001725315972411,11.502816120579382,515.5141295472513,3.727641808509192,2114.965473671448,REFPROP::R152a,43.8731
41,10,140.00000000000034,589.2513914025415,5.0,1739.0745003453264,REFPROP::water,97.49103
42,10,69.99999999999585,293.44857047708416,5.0,954.8526003313465,REFPROP::water,23.74064
38,8.001725315972411,94.14882025343638,387.46144134812465,31.261685566587023,1573.0994677620881,REFPROP::R152a,69.24977
39,8.001725315972411,94.14882027889519,540.3988854137021,31.261685566587023,1989.483718726487,REFPROP::R152a,104.28801
48,10,123.1046112419113,517.2037010164248,5.0,1561.027198724014,REFPROP::water,75.85743
49,10,94.14978407042992,394.8273592224602,5.0,1240.3484880642666,REFPROP::water,44.28127
