,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,8.349262444959365,14.999999998419355,225.92838827826787,4.385826334595714,1091.7349524307904,REFPROP::R152a,44.01508
32,8.349262444959365,16.068314187178203,228.29281841805178,22.997253895608516,1092.9616706776915,REFPROP::R152a,46.03216
33,8.349262444959365,46.96670820383537,284.4185374022115,22.652295087174387,1277.3284313479064,REFPROP::R152a,49.95443
34,8.349262444959365,135.0000000000001,638.7047068398479,21.519680332815668,2279.7503131288267,REFPROP::R152a,120.40485
35,8.349262444959365,68.4832272452353,579.4309988353369,4.6869637559131325,2292.8809489438754,REFPROP::R152a,57.4132
36,8.349262444959365,21.06831426231014,523.3052798511773,4.616659299574436,2117.7963172696486,REFPROP::R152a,50.86269
41,10,139.9999999999996,589.2513914025384,5.0,1739.0745003453255,REFPROP::water,97.49103
42,10,69.99999999998812,293.44857047707103,5.0,954.8526003311184,REFPROP::water,23.74064
38,8.349262444959365,77.6155946028577,347.7742501350623,22.26828369680924,1466.2060652539728,REFPROP::R152a,59.82944
39,8.349262444959365,76.81641763929093,543.3056746962445,21.89078223170167,2025.072943958117,REFPROP::R152a,97.11771
48,10,121.3140825355652,509.6002357663326,5.0,1541.795387933944,REFPROP::water,73.69945
49,10,82.61463553466461,346.34591777652423,5.0,1106.2380757489286,REFPROP::water,33.77319
