,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,4.93804,15.0,225.92839,4.38583,1091.73495,REFPROP::R152a,44.01508
32,4.93804,16.00185,228.14443,21.82703,1092.88492,REFPROP::R152a,45.90551
33,4.93804,30.81628,254.44757,21.60876,1181.66485,REFPROP::R152a,47.07061
34,4.93804,105.0,595.12169,20.52832,2173.68154,REFPROP::R152a,106.85521
35,4.93804,40.33669,545.95903,4.66329,2191.23623,REFPROP::R152a,52.72193
36,4.93804,18.00185,519.65589,4.61666,2105.32751,REFPROP::R152a,50.74384
41,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,4.93804,75.41915,342.90203,21.24244,1452.66896,REFPROP::R152a,58.79025
39,4.93804,74.62907,543.0972,20.88233,2028.45229,REFPROP::R152a,95.95237
48,10.0,103.91722,435.98481,5.0,1350.93796,REFPROP::water,54.12531
49,10.0,80.41828,337.1277,5.0,1080.24678,REFPROP::water,31.91441
