,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,4.59609,15.0,225.92839,4.38583,1091.73495,REFPROP::R152a,44.01508
32,4.59609,16.17219,228.52499,24.82708,1093.08232,REFPROP::R152a,46.23017
33,4.59609,24.37097,242.94472,24.82708,1142.22668,REFPROP::R152a,46.73468
34,4.59609,110.0,593.55256,24.82708,2151.06836,REFPROP::R152a,111.689
35,4.59609,29.44839,533.23316,4.61666,2151.06836,REFPROP::R152a,51.3696
36,4.59609,17.17219,518.66636,4.61666,2101.924,REFPROP::R152a,50.71802
41,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,4.59609,82.7771,359.52744,24.82708,1498.46754,REFPROP::R152a,62.44779
39,4.59609,82.7771,543.34748,24.82708,2014.92172,REFPROP::R152a,100.03383
48,10.0,104.53696,438.60001,5.0,1357.8679,REFPROP::water,54.7783
49,10.0,82.77783,347.03099,5.0,1108.16326,REFPROP::water,33.91314
