,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,4.84587,15.0,225.92839,4.38583,1091.73495,REFPROP::R152a,44.01508
32,4.84587,16.13434,228.44037,24.16121,1093.03796,REFPROP::R152a,46.15812
33,4.84587,26.39718,246.53419,23.7988,1154.63087,REFPROP::R152a,46.8119
34,4.84587,108.0,593.68775,23.32282,2157.39646,REFPROP::R152a,110.03238
35,4.84587,36.60775,541.47755,4.68696,2176.2742,REFPROP::R152a,52.47695
36,4.84587,21.13434,523.38373,4.61666,2118.06293,REFPROP::R152a,50.86565
41,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,4.84587,80.43375,354.13496,23.63907,1483.73339,REFPROP::R152a,61.2273
39,4.84587,80.11404,543.43201,23.48041,2019.64777,REFPROP::R152a,98.78018
48,10.0,104.23398,437.32142,5.0,1354.48121,REFPROP::water,54.45864
49,10.0,82.43468,345.59051,5.0,1104.11421,REFPROP::water,33.61916
