,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,4.88635,15.0,225.92839,4.38583,1091.73495,REFPROP::R152a,44.01508
32,4.88635,16.02146,228.1882,22.17221,1092.90757,REFPROP::R152a,45.94287
33,4.88635,28.553,250.36602,21.83962,1168.10167,REFPROP::R152a,46.82947
34,4.88635,105.0,594.6439,20.74764,2171.36139,REFPROP::R152a,107.03437
35,4.88635,39.94541,545.42742,4.68696,2188.95748,REFPROP::R152a,52.83555
36,4.88635,21.02146,523.24961,4.61666,2117.60708,REFPROP::R152a,50.8606
41,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,4.88635,75.91188,343.98889,21.46939,1455.69725,REFPROP::R152a,59.01965
39,4.88635,75.11976,543.15201,21.10543,2027.70788,REFPROP::R152a,96.21797
48,10.0,104.04263,436.51397,5.0,1352.34109,REFPROP::water,54.25717
49,10.0,80.91114,339.19596,5.0,1086.09236,REFPROP::water,32.32749
