,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,5.5487,10.0,217.18898,3.72764,1061.3876,REFPROP::R152a,43.86852
32,5.5487,11.25918,220.07769,26.83323,1062.88634,REFPROP::R152a,46.33286
33,5.5487,24.56489,243.33084,26.83323,1142.78167,REFPROP::R152a,46.96365
34,5.5487,120.0,605.73779,26.83323,2175.06281,REFPROP::R152a,117.0802
35,5.5487,32.84864,539.99966,3.72764,2197.91253,REFPROP::R152a,44.87216
36,5.5487,12.25918,516.38397,3.72764,2118.01721,REFPROP::R152a,43.87884
41,10.0,120.0,504.02348,5.0,1527.63423,REFPROP::water,72.13243
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,5.5487,86.54606,368.42564,26.83323,1522.53947,REFPROP::R152a,64.53002
39,5.5487,86.54606,542.89312,26.83323,2007.58087,REFPROP::R152a,101.65803
48,10.0,111.76843,469.15287,5.0,1437.99758,REFPROP::water,62.64244
49,10.0,86.54698,362.85989,5.0,1152.40165,REFPROP::water,37.21595
