,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,13.90128,156.45986,508.45633,13.12349,1844.50065,REFPROP::R1336MZZZ,69.49412
12,13.90128,70.0,287.16618,13.12349,1280.36403,REFPROP::R1336MZZZ,7.93925
13,13.90128,22.89415,227.72638,13.12349,1094.22321,REFPROP::R1336MZZZ,1.20522
14,13.90128,5.0,226.15952,0.31368,1094.22321,REFPROP::R1336MZZZ,-0.36164
15,13.90128,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
16,13.90128,70.0,440.01728,0.29799,1844.50065,REFPROP::R1336MZZZ,1.05506
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,13.90128,128.57514,473.36585,13.12349,1759.99781,REFPROP::R1336MZZZ,58.33062
19,13.90128,128.57514,369.63689,13.12349,1501.78902,REFPROP::R1336MZZZ,27.71347
28,10.0,97.30083,408.09338,5.0,1276.31212,REFPROP::water,47.36419
29,10.0,128.57545,540.47114,5.0,1619.3438,REFPROP::water,82.61253
