,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.68543,15.0,225.92839,4.38583,1091.73495,REFPROP::R152a,44.01508
32,7.68543,16.16001,228.63625,29.47944,1091.73495,REFPROP::R152a,46.72294
33,7.68543,37.30451,266.34461,29.03725,1217.65419,REFPROP::R152a,48.77727
34,7.68543,140.0,634.23301,29.03725,2238.0552,REFPROP::R152a,127.73912
35,7.68543,53.17895,561.1226,4.68696,2238.0552,REFPROP::R152a,54.62871
36,7.68543,21.16001,523.41424,4.61666,2118.16658,REFPROP::R152a,50.86681
41,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,7.68543,90.44347,377.97378,29.03725,1548.05229,REFPROP::R152a,66.85421
39,7.68543,90.44347,541.92286,29.03725,1998.96545,REFPROP::R152a,103.12723
48,10.0,123.36434,518.30708,5.0,1563.81081,REFPROP::water,76.17263
49,10.0,90.44436,379.24036,5.0,1197.6963,REFPROP::water,40.77124
